"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2007","4,475.44","4,388.24","4,478.73","4,342.03","2.10B","1.94%"
"10/22/2007","4,390.27","4,441.53","4,479.05","4,374.12","1.56B","-2.32%"
"10/19/2007","4,494.56","4,545.63","4,594.70","4,454.15","1.77B","-0.31%"
"10/18/2007","4,508.66","4,676.52","4,684.86","4,481.01","2.38B","-3.75%"
"10/17/2007","4,684.11","4,713.75","4,744.78","4,647.89","2.36B","-1.01%"
"10/16/2007","4,731.83","4,726.08","4,772.93","4,688.26","3.72B","0.80%"
"10/15/2007","4,694.31","4,606.48","4,695.83","4,572.43","3.67B","2.53%"
"10/12/2007","4,578.69","4,601.98","4,633.81","4,391.14","3.84B","0.02%"
"10/11/2007","4,577.88","4,458.19","4,579.65","4,439.24","3.42B","2.97%"
"10/10/2007","4,445.96","4,444.67","4,524.45","4,413.64","3.23B","0.46%"
"10/09/2007","4,425.70","4,393.47","4,438.56","4,351.90","2.50B","0.55%"
"10/08/2007","4,401.28","4,407.50","4,444.69","4,347.76","3.57B","2.18%"
"09/28/2007","4,307.42","4,229.60","4,315.35","4,229.60","2.10B","2.82%"
"09/27/2007","4,189.12","4,142.07","4,190.40","4,130.03","1.32B","1.18%"
"09/26/2007","4,140.32","4,177.27","4,245.90","4,128.26","1.50B","-1.26%"
"09/25/2007","4,193.06","4,246.90","4,265.37","4,169.82","1.75B","-0.91%"
"09/24/2007","4,231.75","4,201.42","4,245.97","4,134.27","2.18B","0.83%"
"09/21/2007","4,197.04","4,227.33","4,232.10","4,118.33","2.51B","-0.60%"
"09/20/2007","4,222.42","4,171.67","4,237.52","4,169.91","2.25B","1.46%"
"09/19/2007","4,161.59","4,212.19","4,226.36","4,121.72","2.20B","-1.03%"
"09/18/2007","4,204.70","4,261.45","4,269.59","4,145.84","3.13B","-0.78%"
"09/17/2007","4,237.92","4,170.95","4,244.98","4,170.33","3.00B","1.74%"
